track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
3hTB92pIwUNcIvpjvpyzDA,0,190223,0.506,0.749,8,-4.982,0,0.0388,0.00648,2.03e-5,0.223,0.372,151.928,4,1
1gJrH78tBc0ymRXZiizxKx,1,285373,0.614,0.724,7,-7.521,1,0.0247,0.217,2.56e-4,0.146,0.902,97.863,4,1
0LOgt6yDDGGBHSWvlKbdHo,58,210727,0.64,0.315,8,-9.422,1,0.0328,0.655,1.63e-6,0.108,0.584,152.06,4,1
61gLyY13fBlwh9Kp2gvmlL,0,147720,0.499,0.295,5,-11.782,1,0.0287,0.794,0,0.0829,0.323,154.938,3,1
4dI3UmOl7scnyCU4KgaaNO,0,198365,0.582,0.817,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,4,0
0EnvJBejWaMxn3qAvWV4B9,0,213306,0.445,0.537,1,-5.477,1,0.0311,0.331,5e-5,0.0866,0.246,157.98,4,1
2y6u1FsY2HSuSsn0cemmqu,0,190173,0.491,0.641,7,-4.456,1,0.0282,0.0592,0,0.0857,0.299,136.1,4,1
7s1KiBsH0lCggKO52Qir6X,0,211560,0.686,0.915,10,-2.756,0,0.0449,0.079,2.75e-4,0.107,0.743,100.003,4,0
2ZfojROyvVjM7dQYa0bTJr,0,169440,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,4,1
23aCW41msaLcDJK9J3mxfw,0,312048,0.466,0.981,9,-1.142,1,0.0797,0.00142,7.21e-5,0.0861,0.226,127.014,4,0
2o72ijZlp54mtVOw2HR9s3,39,188804,0.602,0.799,2,-6.188,1,0.0431,0.696,0,0.977,0.831,109.98,4,0
0rZ4nOlXciHhF0f7zoMltZ,0,215140,0.519,0.552,2,-5.023,1,0.0259,0.18,0,0.149,0.331,89.957,4,1
4TeLaDmBpXnXtzvlY353yD,0,194760,0.453,0.7,1,-4.741,1,0.038,0.131,0,0.186,0.447,164.173,3,1
2WRFD9WczJ975X2K1Y9YVs,68,221000,0.562,0.903,8,-4.46,0,0.0296,1.87e-4,0.0939,0.298,0.791,132.009,4,0
6WnSqAp4o9ii13vVk4iM1t,40,194320,0.64,0.852,2,-6.406,1,0.028,0.0907,0,0.151,0.903,139.949,4,1
0fI5GUO2rDHujmgu6JpUgQ,0,124240,0.745,0.598,10,-6.053,1,0.0975,0.129,0,0.678,0.789,148.906,4,1
65lzU29K7uXLHxJNI70d4Z,48,214880,0.492,0.581,1,-5.922,1,0.047,0.471,0,0.0509,0.351,100.033,4,0
19L4q6RZGQBAM4MGnqQx7R,0,70653,0.345,0.024,5,-31.974,0,0.0346,0.994,0.912,0.112,0.12,66.09,5,0
